time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
991.1334,0.0125,0.7727,0.175,0.0,0.0,0.0
991.1445,0.0125,0.7727,0.175,0.0,0.0,0.0
991.1556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.1667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.1778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.1889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2111,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2222,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2333,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2444,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.2889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3112,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3223,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3334,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3445,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.3889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4111,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4222,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4333,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4445,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.4889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5111,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5222,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5334,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5445,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.5889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6111,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6223,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6334,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6445,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.6889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7111,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7222,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7333,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7444,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.7889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8112,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8223,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8334,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8445,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.8889,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9111,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9222,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9333,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9445,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9556,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9667,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9778,0.0125,0.7727,0.175,0.0,0.0,0.0
991.9889,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0111,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0222,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0334,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0445,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0556,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0667,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0778,0.0125,0.7727,0.175,0.0,0.0,0.0
992.0889,0.0125,0.7727,0.175,0.0,0.0,0.0
992.1,0.0125,0.7727,0.175,0.0,0.0,0.0
992.1111,0.0125,0.7727,0.175,0.0,0.0,0.0
992.1223,0.0125,0.7727,0.175,0.0,0.0,0.0
992.1334,0.0125,0.7727,0.175,0.0,0.0,0.0
