time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
371.5222,0.0,0.7727,0.175,0.0,0.0,0.0
371.5334,0.0,0.7727,0.175,0.0,0.0,0.0
371.5445,0.0,0.7727,0.175,0.0,0.0,0.0
371.5556,0.0,0.7727,0.175,0.0,0.0,0.0
371.5667,0.0,0.7727,0.175,0.0,0.0,0.0
371.5778,0.0,0.7727,0.175,0.0,0.0,0.0
371.5889,0.0,0.7727,0.175,0.0,0.0,0.0
371.6,0.0,0.7727,0.175,0.0,0.0,0.0
371.6111,0.0,0.7727,0.175,0.0,0.0,0.0
371.6222,0.0,0.7727,0.175,0.0,0.0,0.0
371.6333,0.0,0.7727,0.175,0.0,0.0,0.0
371.6444,0.0,0.7727,0.175,0.0,0.0,0.0
371.6556,0.0,0.7727,0.175,0.0,0.0,0.0
371.6667,0.0,0.7727,0.175,0.0,0.0,0.0
371.6778,0.0,0.7727,0.175,0.0,0.0,0.0
371.6889,0.0,0.7727,0.175,0.0,0.0,0.0
371.7,0.0,0.7727,0.175,0.0,0.0,0.0
371.7111,0.0,0.7727,0.175,0.0,0.0,0.0
371.7222,0.0,0.7727,0.175,0.0,0.0,0.0
371.7333,0.0,0.7727,0.175,0.0,0.0,0.0
371.7444,0.0,0.7727,0.175,0.0,0.0,0.0
371.7556,0.0,0.7727,0.175,0.0,0.0,0.0
371.7667,0.0,0.7727,0.175,0.0,0.0,0.0
371.7778,0.0,0.7727,0.175,0.0,0.0,0.0
371.7889,0.0,0.7727,0.175,0.0,0.0,0.0
371.8,0.0,0.7727,0.175,0.0,0.0,0.0
371.8111,0.0,0.7727,0.175,0.0,0.0,0.0
371.8222,0.0,0.7727,0.175,0.0,0.0,0.0
371.8333,0.0,0.7727,0.175,0.0,0.0,0.0
371.8445,0.0,0.7727,0.175,0.0,0.0,0.0
371.8556,0.0,0.7727,0.175,0.0,0.0,0.0
371.8667,0.0,0.7727,0.175,0.0,0.0,0.0
371.8778,0.0,0.7727,0.175,0.0,0.0,0.0
371.8889,0.0,0.7727,0.175,0.0,0.0,0.0
371.9,0.0,0.7727,0.175,0.0,0.0,0.0
371.9111,0.0,0.7727,0.175,0.0,0.0,0.0
371.9222,0.0,0.7727,0.175,0.0,0.0,0.0
371.9333,0.0,0.7727,0.175,0.0,0.0,0.0
371.9445,0.0,0.7727,0.175,0.0,0.0,0.0
371.9556,0.0,0.7727,0.175,0.0,0.0,0.0
371.9667,0.0,0.7727,0.175,0.0,0.0,0.0
371.9778,0.0,0.7727,0.175,0.0,0.0,0.0
371.9889,0.0,0.7727,0.175,0.0,0.0,0.0
372.0,0.0,0.7727,0.175,0.0,0.0,0.0
372.0111,0.0,0.7727,0.175,0.0,0.0,0.0
372.0222,0.0,0.7727,0.175,0.0,0.0,0.0
372.0334,0.0,0.7727,0.175,0.0,0.0,0.0
372.0445,0.0,0.7727,0.175,0.0,0.0,0.0
372.0556,0.0,0.7727,0.175,0.0,0.0,0.0
372.0667,0.0,0.7727,0.175,0.0,0.0,0.0
372.0778,0.0,0.7727,0.175,0.0,0.0,0.0
372.0889,0.0,0.7727,0.175,0.0,0.0,0.0
372.1,0.0,0.7727,0.175,0.0,0.0,0.0
372.1111,0.0,0.7727,0.175,0.0,0.0,0.0
372.1222,0.0,0.7727,0.175,0.0,0.0,0.0
372.1333,0.0,0.7727,0.175,0.0,0.0,0.0
372.1444,0.0,0.7727,0.175,0.0,0.0,0.0
372.1556,0.0,0.7727,0.175,0.0,0.0,0.0
372.1667,0.0,0.7727,0.175,0.0,0.0,0.0
372.1778,0.0,0.7727,0.175,0.0,0.0,0.0
372.1889,0.0,0.7727,0.175,0.0,0.0,0.0
372.2,0.0,0.7727,0.175,0.0,0.0,0.0
372.2111,0.0,0.7727,0.175,0.0,0.0,0.0
372.2222,0.0,0.7727,0.175,0.0,0.0,0.0
372.2333,0.0,0.7727,0.175,0.0,0.0,0.0
372.2444,0.0,0.7727,0.175,0.0,0.0,0.0
372.2556,0.0,0.7727,0.175,0.0,0.0,0.0
372.2667,0.0,0.7727,0.175,0.0,0.0,0.0
372.2778,0.0,0.7727,0.175,0.0,0.0,0.0
372.2889,0.0,0.7727,0.175,0.0,0.0,0.0
372.3,0.0,0.7727,0.175,0.0,0.0,0.0
372.3111,0.0,0.7727,0.175,0.0,0.0,0.0
372.3222,0.0,0.7727,0.175,0.0,0.0,0.0
372.3333,0.0,0.7727,0.175,0.0,0.0,0.0
372.3445,0.0,0.7727,0.175,0.0,0.0,0.0
372.3556,0.0,0.7727,0.175,0.0,0.0,0.0
372.3667,0.0,0.7727,0.175,0.0,0.0,0.0
