time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
656.2222,0.0,0.7727,0.175,0.0,0.0,0.0
656.2333,0.0,0.7727,0.175,0.0,0.0,0.0
656.2444,0.0,0.7727,0.175,0.0,0.0,0.0
656.2556,0.0,0.7727,0.175,0.0,0.0,0.0
656.2667,0.0,0.7727,0.175,0.0,0.0,0.0
656.2778,0.0,0.7727,0.175,0.0,0.0,0.0
656.2889,0.0,0.7727,0.175,0.0,0.0,0.0
656.3,0.0,0.7727,0.175,0.0,0.0,0.0
656.3112,0.0,0.7727,0.175,0.0,0.0,0.0
656.3223,0.0,0.7727,0.175,0.0,0.0,0.0
656.3334,0.0,0.7727,0.175,0.0,0.0,0.0
656.3445,0.0,0.7727,0.175,0.0,0.0,0.0
656.3556,0.0,0.7727,0.175,0.0,0.0,0.0
656.3667,0.0,0.7727,0.175,0.0,0.0,0.0
656.3778,0.0,0.7727,0.175,0.0,0.0,0.0
656.3889,0.0,0.7727,0.175,0.0,0.0,0.0
656.4,0.0,0.7727,0.175,0.0,0.0,0.0
656.4111,0.0,0.7727,0.175,0.0,0.0,0.0
656.4222,0.0,0.7727,0.175,0.0,0.0,0.0
656.4333,0.0,0.7727,0.175,0.0,0.0,0.0
656.4445,0.0,0.7727,0.175,0.0,0.0,0.0
656.4556,0.0,0.7727,0.175,0.0,0.0,0.0
656.4667,0.0,0.7727,0.175,0.0,0.0,0.0
656.4778,0.0,0.7727,0.175,0.0,0.0,0.0
656.4889,0.0,0.7727,0.175,0.0,0.0,0.0
656.5,0.0,0.7727,0.175,0.0,0.0,0.0
656.5111,0.0,0.7727,0.175,0.0,0.0,0.0
656.5222,0.0,0.7727,0.175,0.0,0.0,0.0
656.5333,0.0,0.7727,0.175,0.0,0.0,0.0
656.5444,0.0,0.7727,0.175,0.0,0.0,0.0
656.5555,0.0,0.7727,0.175,0.0,0.0,0.0
656.5667,0.0,0.7727,0.175,0.0,0.0,0.0
656.5778,0.0,0.7727,0.175,0.0,0.0,0.0
656.5889,0.0,0.7727,0.175,0.0,0.0,0.0
656.6,0.0,0.7727,0.175,0.0,0.0,0.0
656.6111,0.0,0.7727,0.175,0.0,0.0,0.0
656.6223,0.0,0.7727,0.175,0.0,0.0,0.0
656.6334,0.0,0.7727,0.175,0.0,0.0,0.0
656.6445,0.0,0.7727,0.175,0.0,0.0,0.0
656.6556,0.0,0.7727,0.175,0.0,0.0,0.0
656.6667,0.0,0.7727,0.175,0.0,0.0,0.0
656.6778,0.0,0.7727,0.175,0.0,0.0,0.0
656.6889,0.0,0.7727,0.175,0.0,0.0,0.0
656.7,0.0,0.7727,0.175,0.0,0.0,0.0
656.7111,0.0,0.7727,0.175,0.0,0.0,0.0
656.7222,0.0,0.7727,0.175,0.0,0.0,0.0
656.7333,0.0,0.7727,0.175,0.0,0.0,0.0
656.7444,0.0,0.7727,0.175,0.0,0.0,0.0
656.7556,0.0,0.7727,0.175,0.0,0.0,0.0
656.7667,0.0,0.7727,0.175,0.0,0.0,0.0
656.7778,0.0,0.7727,0.175,0.0,0.0,0.0
656.7889,0.0,0.7727,0.175,0.0,0.0,0.0
656.8,0.0,0.7727,0.175,0.0,0.0,0.0
656.8112,0.0,0.7727,0.175,0.0,0.0,0.0
656.8223,0.0,0.7727,0.175,0.0,0.0,0.0
656.8334,0.0,0.7727,0.175,0.0,0.0,0.0
656.8445,0.0,0.7727,0.175,0.0,0.0,0.0
656.8556,0.0,0.7727,0.175,0.0,0.0,0.0
656.8667,0.0,0.7727,0.175,0.0,0.0,0.0
656.8778,0.0,0.7727,0.175,0.0,0.0,0.0
656.8889,0.0,0.7727,0.175,0.0,0.0,0.0
656.9,0.0,0.7727,0.175,0.0,0.0,0.0
656.9111,0.0,0.7727,0.175,0.0,0.0,0.0
656.9222,0.0,0.7727,0.175,0.0,0.0,0.0
656.9333,0.0,0.7727,0.175,0.0,0.0,0.0
656.9445,0.0,0.7727,0.175,0.0,0.0,0.0
656.9556,0.0,0.7727,0.175,0.0,0.0,0.0
656.9667,0.0,0.7727,0.175,0.0,0.0,0.0
656.9778,0.0,0.7727,0.175,0.0,0.0,0.0
656.9889,0.0,0.7727,0.175,0.0,0.0,0.0
657.0,0.0,0.7727,0.175,0.0,0.0,0.0
657.0111,0.0,0.7727,0.175,0.0,0.0,0.0
657.0222,0.0,0.7727,0.175,0.0,0.0,0.0
657.0333,0.0,0.7727,0.175,0.0,0.0,0.0
657.0444,0.0,0.7727,0.175,0.0,0.0,0.0
657.0555,0.0,0.7727,0.175,0.0,0.0,0.0
657.0667,0.0,0.7727,0.175,0.0,0.0,0.0
657.0778,0.0,0.7727,0.175,0.0,0.0,0.0
657.0889,0.0,0.7727,0.175,0.0,0.0,0.0
657.1,0.0,0.7727,0.175,0.0,0.0,0.0
657.1111,0.0,0.7727,0.175,0.0,0.0,0.0
657.1223,0.0,0.7727,0.175,0.0,0.0,0.0
657.1334,0.0,0.7727,0.175,0.0,0.0,0.0
657.1445,0.0,0.7727,0.175,0.0,0.0,0.0
657.1556,0.0,0.7727,0.175,0.0,0.0,0.0
657.1667,0.0,0.7727,0.175,0.0,0.0,0.0
657.1778,0.0,0.7727,0.175,0.0,0.0,0.0
657.1889,0.0,0.7727,0.175,0.0,0.0,0.0
657.2,0.0,0.7727,0.175,0.0,0.0,0.0
657.2111,0.0,0.7727,0.175,0.0,0.0,0.0
657.2222,0.0,0.7727,0.175,0.0,0.0,0.0
657.2333,0.0,0.7727,0.175,0.0,0.0,0.0
657.2444,0.0,0.7727,0.175,0.0,0.0,0.0
657.2556,0.0,0.7727,0.175,0.0,0.0,0.0
657.2667,0.0,0.7727,0.175,0.0,0.0,0.0
657.2778,0.0,0.7727,0.175,0.0,0.0,0.0
657.2889,0.0,0.7727,0.175,0.0,0.0,0.0
657.3,0.0,0.7727,0.175,0.0,0.0,0.0
657.3112,0.0,0.7727,0.175,0.0,0.0,0.0
657.3223,0.0,0.7727,0.175,0.0,0.0,0.0
657.3334,0.0,0.7727,0.175,0.0,0.0,0.0
657.3445,0.0,0.7727,0.175,0.0,0.0,0.0
657.3556,0.0,0.7727,0.175,0.0,0.0,0.0
657.3667,0.0,0.7727,0.175,0.0,0.0,0.0
657.3778,0.0,0.7727,0.175,0.0,0.0,0.0
657.3889,0.0,0.7727,0.175,0.0,0.0,0.0
657.4,0.0,0.7727,0.175,0.0,0.0,0.0
657.4111,0.0,0.7727,0.175,0.0,0.0,0.0
657.4222,0.0,0.7727,0.175,0.0,0.0,0.0
657.4333,0.0,0.7727,0.175,0.0,0.0,0.0
657.4445,0.0,0.7727,0.175,0.0,0.0,0.0
657.4556,0.0,0.7727,0.175,0.0,0.0,0.0
657.4667,0.0,0.7727,0.175,0.0,0.0,0.0
657.4778,0.0,0.7727,0.175,0.0,0.0,0.0
657.4889,0.0,0.7727,0.175,0.0,0.0,0.0
657.5,0.0,0.7727,0.175,0.0,0.0,0.0
657.5111,0.0,0.7727,0.175,0.0,0.0,0.0
657.5222,0.0,0.7727,0.175,0.0,0.0,0.0
657.5333,0.0,0.7727,0.175,0.0,0.0,0.0
657.5444,0.0,0.7727,0.175,0.0,0.0,0.0
657.5555,0.0,0.7727,0.175,0.0,0.0,0.0
657.5667,0.0,0.7727,0.175,0.0,0.0,0.0
