time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
792.7,0.0,0.7727,0.175,0.0,0.0,0.0
792.7111,0.0,0.7727,0.175,0.0,0.0,0.0
792.7222,0.0,0.7727,0.175,0.0,0.0,0.0
792.7333,0.0,0.7727,0.175,0.0,0.0,0.0
792.7444,0.0,0.7727,0.175,0.0,0.0,0.0
792.7556,0.0,0.7727,0.175,0.0,0.0,0.0
792.7667,0.0,0.7727,0.175,0.0,0.0,0.0
792.7778,0.0,0.7727,0.175,0.0,0.0,0.0
792.7889,0.0,0.7727,0.175,0.0,0.0,0.0
792.8,0.0,0.7727,0.175,0.0,0.0,0.0
792.8112,0.0,0.7727,0.175,0.0,0.0,0.0
792.8223,0.0,0.7727,0.175,0.0,0.0,0.0
792.8334,0.0,0.7727,0.175,0.0,0.0,0.0
792.8445,0.0,0.7727,0.175,0.0,0.0,0.0
792.8556,0.0,0.7727,0.175,0.0,0.0,0.0
792.8667,0.0,0.7727,0.175,0.0,0.0,0.0
792.8778,0.0,0.7727,0.175,0.0,0.0,0.0
792.8889,0.0,0.7727,0.175,0.0,0.0,0.0
792.9,0.0,0.7727,0.175,0.0,0.0,0.0
792.9111,0.0,0.7727,0.175,0.0,0.0,0.0
792.9222,0.0,0.7727,0.175,0.0,0.0,0.0
792.9333,0.0,0.7727,0.175,0.0,0.0,0.0
792.9445,0.0,0.7727,0.175,0.0,0.0,0.0
792.9556,0.0,0.7727,0.175,0.0,0.0,0.0
792.9667,0.0,0.7727,0.175,0.0,0.0,0.0
792.9778,0.0,0.7727,0.175,0.0,0.0,0.0
792.9889,0.0,0.7727,0.175,0.0,0.0,0.0
793.0,0.0,0.7727,0.175,0.0,0.0,0.0
793.0111,0.0,0.7727,0.175,0.0,0.0,0.0
793.0222,0.0,0.7727,0.175,0.0,0.0,0.0
793.0333,0.0,0.7727,0.175,0.0,0.0,0.0
793.0444,0.0,0.7727,0.175,0.0,0.0,0.0
793.0556,0.0,0.7727,0.175,0.0,0.0,0.0
793.0667,0.0,0.7727,0.175,0.0,0.0,0.0
793.0778,0.0,0.7727,0.175,0.0,0.0,0.0
793.0889,0.0,0.7727,0.175,0.0,0.0,0.0
793.1,0.0,0.7727,0.175,0.0,0.0,0.0
793.1111,0.0,0.7727,0.175,0.0,0.0,0.0
793.1223,0.0,0.7727,0.175,0.0,0.0,0.0
793.1334,0.0,0.7727,0.175,0.0,0.0,0.0
793.1445,0.0,0.7727,0.175,0.0,0.0,0.0
793.1556,0.0,0.7727,0.175,0.0,0.0,0.0
793.1667,0.0,0.7727,0.175,0.0,0.0,0.0
793.1778,0.0,0.7727,0.175,0.0,0.0,0.0
793.1889,0.0,0.7727,0.175,0.0,0.0,0.0
793.2,0.0,0.7727,0.175,0.0,0.0,0.0
793.2111,0.0,0.7727,0.175,0.0,0.0,0.0
793.2222,0.0,0.7727,0.175,0.0,0.0,0.0
793.2333,0.0,0.7727,0.175,0.0,0.0,0.0
793.2444,0.0,0.7727,0.175,0.0,0.0,0.0
793.2556,0.0,0.7727,0.175,0.0,0.0,0.0
793.2667,0.0,0.7727,0.175,0.0,0.0,0.0
793.2778,0.0,0.7727,0.175,0.0,0.0,0.0
793.2889,0.0,0.7727,0.175,0.0,0.0,0.0
793.3,0.0,0.7727,0.175,0.0,0.0,0.0
793.3112,0.0,0.7727,0.175,0.0,0.0,0.0
793.3223,0.0,0.7727,0.175,0.0,0.0,0.0
793.3334,0.0,0.7727,0.175,0.0,0.0,0.0
793.3445,0.0,0.7727,0.175,0.0,0.0,0.0
793.3556,0.0,0.7727,0.175,0.0,0.0,0.0
793.3667,0.0,0.7727,0.175,0.0,0.0,0.0
793.3778,0.0,0.7727,0.175,0.0,0.0,0.0
793.3889,0.0,0.7727,0.175,0.0,0.0,0.0
793.4,0.0,0.7727,0.175,0.0,0.0,0.0
793.4111,0.0,0.7727,0.175,0.0,0.0,0.0
793.4222,0.0,0.7727,0.175,0.0,0.0,0.0
793.4333,0.0,0.7727,0.175,0.0,0.0,0.0
793.4445,0.0,0.7727,0.175,0.0,0.0,0.0
793.4556,0.0,0.7727,0.175,0.0,0.0,0.0
793.4667,0.0,0.7727,0.175,0.0,0.0,0.0
793.4778,0.0,0.7727,0.175,0.0,0.0,0.0
793.4889,0.0,0.7727,0.175,0.0,0.0,0.0
793.5,0.0,0.7727,0.175,0.0,0.0,0.0
793.5111,0.0,0.7727,0.175,0.0,0.0,0.0
793.5222,0.0,0.7727,0.175,0.0,0.0,0.0
793.5333,0.0,0.7727,0.175,0.0,0.0,0.0
793.5444,0.0,0.7727,0.175,0.0,0.0,0.0
793.5556,0.0,0.7727,0.175,0.0,0.0,0.0
793.5667,0.0,0.7727,0.175,0.0,0.0,0.0
793.5778,0.0,0.7727,0.175,0.0,0.0,0.0
793.5889,0.0,0.7727,0.175,0.0,0.0,0.0
793.6,0.0,0.7727,0.175,0.0,0.0,0.0
793.6111,0.0,0.7727,0.175,0.0,0.0,0.0
793.6223,0.0,0.7727,0.175,0.0,0.0,0.0
793.6334,0.0,0.7727,0.175,0.0,0.0,0.0
793.6445,0.0,0.7727,0.175,0.0,0.0,0.0
793.6556,0.0,0.7727,0.175,0.0,0.0,0.0
793.6667,0.0,0.7727,0.175,0.0,0.0,0.0
793.6778,0.0,0.7727,0.175,0.0,0.0,0.0
793.6889,0.0,0.7727,0.175,0.0,0.0,0.0
793.7,0.0,0.7727,0.175,0.0,0.0,0.0
793.7111,0.0,0.7727,0.175,0.0,0.0,0.0
793.7222,0.0,0.7727,0.175,0.0,0.0,0.0
793.7333,0.0,0.7727,0.175,0.0,0.0,0.0
793.7444,0.0,0.7727,0.175,0.0,0.0,0.0
793.7556,0.0,0.7727,0.175,0.0,0.0,0.0
793.7667,0.0,0.7727,0.175,0.0,0.0,0.0
793.7778,0.0,0.7727,0.175,0.0,0.0,0.0
793.7889,0.0,0.7727,0.175,0.0,0.0,0.0
793.8,0.0,0.7727,0.175,0.0,0.0,0.0
793.8112,0.0,0.7727,0.175,0.0,0.0,0.0
793.8223,0.0,0.7727,0.175,0.0,0.0,0.0
793.8334,0.0,0.7727,0.175,0.0,0.0,0.0
793.8445,0.0,0.7727,0.175,0.0,0.0,0.0
793.8556,0.0,0.7727,0.175,0.0,0.0,0.0
793.8667,0.0,0.7727,0.175,0.0,0.0,0.0
793.8778,0.0,0.7727,0.175,0.0,0.0,0.0
793.8889,0.0,0.7727,0.175,0.0,0.0,0.0
793.9,0.0,0.7727,0.175,0.0,0.0,0.0
793.9111,0.0,0.7727,0.175,0.0,0.0,0.0
793.9222,0.0,0.7727,0.175,0.0,0.0,0.0
