time,FailOnTouchObstacleMed_pos_x,FailOnTouchObstacleMed_pos_y,FailOnTouchObstacleMed_pos_z,FailOnTouchObstacleMed_rot_x,FailOnTouchObstacleMed_rot_y,FailOnTouchObstacleMed_rot_z
759.2889,-0.2517,0.79,-0.2312,-0.0008,-0.0008,-0.0008
759.3,-0.2517,0.79,-0.2312,-0.0023,-0.0023,-0.0023
759.3112,-0.2517,0.79,-0.2312,-0.0019,-0.0019,-0.0019
759.3223,-0.2517,0.79,-0.2312,-0.0009,-0.0009,-0.0009
759.3334,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.3445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.3556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.3667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.3778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.3889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.4889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5444,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.5889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6223,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6334,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.6889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7444,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.7889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8112,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8223,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8334,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.8889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
759.9889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0444,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.0889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1223,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1334,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.1889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2444,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.2889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3112,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3223,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3334,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.3889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.4889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5444,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.5889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6223,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6334,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.6889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7111,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7222,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7333,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7444,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7778,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.7889,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.8,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.8112,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.8223,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.8334,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.8445,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.8556,-0.2517,0.79,-0.2312,0.0,0.0,0.0
760.8667,-0.2517,0.79,-0.2312,0.0,0.0,0.0
